municipio_6,ano,populacao,nome_municipio,qtd_internacoes_uti,qtd_internacoes_icsap_uti,soma_val_tot,soma_dias_perm,qtd_estabelecimentos_media,qtd_leitos_existentes_media,qtd_leitos_sus_media,siops_dotacao_atualizada,siops_despesa_empenhada,siops_despesa_liquidada,siops_despesa_paga
350010,2022,34687,Adamantina - SP,357,81,2409622.85,4016,153.0,242.83333333333334,209.16666666666666,,,,
350020,2022,4351,Adolfo - SP,64,10,624747.47,675,6.0,,,,,,
350030,2022,32072,Aguaí - SP,177,30,1261673.41,2065,70.0,24.0,24.0,,,,
350040,2022,7369,Águas da Prata - SP,61,5,379554.96,719,6.0,,,,,,
350050,2022,17930,Águas de Lindóia - SP,79,8,612779.55,852,47.833333333333336,33.0,24.0,,,,
350055,2022,7177,Águas de Santa Bárbara - SP,32,2,289835.28,394,10.545454545454545,,,,,,
350060,2022,2780,Águas de São Pedro - SP,32,3,316060.69,326,6.222222222222222,,,,,,
350070,2022,37680,Agudos - SP,295,54,1913383.59,3595,34.833333333333336,54.083333333333336,38.083333333333336,,,,
350075,2022,6141,Alambari - SP,36,4,285892.25,611,9.818181818181818,,,,,,
350080,2022,4445,Alfredo Marcondes - SP,37,8,351501.57,551,2.0,,,,,,
350090,2022,3451,Altair - SP,27,7,214247.31,273,8.0,,,,,,
350100,2022,16818,Altinópolis - SP,132,17,1173762.97,1336,46.5,31.0,29.0,,,,
350110,2022,3841,Alto Alegre - SP,44,10,161092.75,248,8.0,22.0,19.0,,,,
350115,2022,17301,Alumínio - SP,70,11,555360.49,985,14.666666666666666,120.0,0.0,,,,
350120,2022,3915,Álvares Florence - SP,47,5,402496.26,529,5.5,,,,,,
350130,2022,27255,Álvares Machado - SP,117,23,1130530.6,1498,22.916666666666668,20.0,18.0,,,,
350140,2022,4808,Álvaro de Carvalho - SP,40,8,282341.04,392,3.75,,,,,,
350150,2022,2885,Alvinlândia - SP,16,4,199234.43,254,3.0,,,,,,
350160,2022,237240,Americana - SP,786,124,7207646.85,12163,1005.5,580.5833333333334,227.83333333333334,,,,
350170,2022,33019,Américo Brasiliense - SP,189,54,1176851.57,2082,33.5,227.33333333333334,225.66666666666666,,,,
350180,2022,5870,Américo de Campos - SP,40,6,428749.91,398,8.5,,,,,,
350190,2022,68008,Amparo - SP,433,87,3040642.98,4608,305.5,392.8333333333333,228.66666666666666,,,,
350200,2022,4589,Analândia - SP,24,1,104292.49,180,6.0,,,,,,
350210,2022,59783,Andradina - SP,436,128,2670479.48,4302,272.9166666666667,137.83333333333334,98.33333333333333,,,,
350220,2022,24022,Angatuba - SP,102,14,652924.78,1119,41.75,58.666666666666664,54.0,,,,
350230,2022,5674,Anhembi - SP,44,8,636553.31,552,8.916666666666666,,,,,,
350240,2022,4023,Anhumas - SP,24,4,183342.24,280,7.777777777777778,,,,,,
350250,2022,32569,Aparecida - SP,303,58,2266201.13,3759,44.25,105.5,78.0,,,,
350260,2022,4086,Aparecida d'Oeste - SP,44,3,374657.26,457,7.0,14.0,13.0,,,,
350270,2022,24585,Apiaí - SP,86,18,616121.33,907,47.666666666666664,55.0,51.0,,,,
350275,2022,21522,Araçariguama - SP,85,6,893631.31,1398,22.0,,,,,,
350280,2022,200124,Araçatuba - SP,1277,281,11752606.61,15386,901.0833333333334,559.5,371.6666666666667,,,,
